company,role,location,yearsOfExperience,offerDate,totalCompensation,currency,level,baseSalary,baseSalaryCurrency,avgAnnualStockGrantValue,stockGrantCurrency,avgAnnualBonusValue,bonusCurrency,userCurrency,exchangeRate,ipAddress
Wipro,Engineering Manager,SF Bay Area,1.7,2024-04-21,69951,USD,M1,61915,USD,0,USD,8036,USD,USD,83.0,192.168.192.39
StartupB,Data Scientist,Chennai,8.2,2024-02-05,3371073,INR,IC3,2818204,INR,197777,INR,355092,INR,INR,1.0,192.168.193.32
Wipro,Engineering Manager,Hyderabad,2.1,2023-06-26,1519170,INR,M1,1437628,INR,0,INR,81542,INR,INR,1.0,192.168.36.64
UnicornX,Engineering Manager,Bengaluru,3.4,2022-10-10,5054472,INR,M1,4070567,INR,555996,INR,427909,INR,INR,1.0,192.168.200.241
Google,Engineering Manager,Seattle,17.5,2022-12-13,780908,USD,M2,469931,USD,195971,USD,115006,USD,USD,83.0,192.168.76.166
Google,Senior Software Engineer,Hyderabad,11.2,2024-10-03,9131283,INR,IC3,5125155,INR,2282440,USD,1723688,INR,INR,1.0,192.168.136.228
Google,Tech Lead,Seattle,5.8,2022-07-12,348429,USD,IC4,205115,USD,98918,USD,44396,USD,USD,83.0,192.168.140.175
Amazon,Product Manager,Remote,3.2,2021-01-02,76863,USD,IC3,42794,USD,17388,USD,16681,USD,USD,83.0,192.168.243.203
StartupB,Data Scientist,Seattle,9.2,2026-07-23,141242,USD,IC3,115997,USD,17897,USD,7348,USD,USD,83.0,192.168.103.22
Infosys,Data Scientist,Pune,8.8,2022-05-03,1231990,INR,IC3,1081375,INR,0,INR,150615,INR,INR,1.0,192.168.131.236
Meta,Senior Software Engineer,Pune,8.8,2023-11-22,6214832,INR,IC3,3660991,INR,1637170,USD,916671,INR,INR,1.0,192.168.165.17
UnicornX,Engineering Manager,Hyderabad,2.7,2026-04-03,4367310,INR,M1,3691874,INR,322586,INR,352850,INR,INR,1.0,192.168.237.112
Microsoft,Product Manager,Pune,5.7,2025-11-24,8562107,INR,IC3,4756275,INR,2282726,USD,1523106,INR,INR,1.0,192.168.45.31
Google,Engineering Manager,SF Bay Area,6.8,2026-06-17,432799,USD,M1,238531,USD,108045,USD,86223,USD,USD,83.0,192.168.133.201
UnicornX,Senior Software Engineer,Seattle,7.7,2022-12-04,138905,USD,IC3,114594,USD,19078,USD,5233,USD,USD,83.0,192.168.198.231
Google,Tech Lead,Remote,8.5,2024-10-21,154098,USD,IC4,85738,USD,41796,USD,26564,USD,USD,83.0,192.168.20.128
TCS,Data Scientist,Seattle,9.8,2021-10-06,43727,USD,IC3,39353,USD,0,USD,4374,USD,USD,83.0,192.168.95.41
UnicornX,Software Engineer,Pune,5.7,2026-09-01,1736185,INR,IC2,1427626,INR,126464,INR,182095,INR,INR,1.0,192.168.12.220
Google,Senior Software Engineer,Bengaluru,7.9,2024-03-28,9651818,INR,IC3,5659803,INR,2818550,USD,1173465,INR,INR,1.0,192.168.10.142
StartupB,Senior Software Engineer,Seattle,7.2,2022-05-27,105081,USD,IC3,83185,USD,12823,USD,9073,USD,USD,83.0,192.168.20.147
StartupA,Software Engineer,Pune,1.1,2026-09-02,1334899,INR,IC1,1121574,INR,90686,INR,122639,INR,INR,1.0,192.168.245.103
Microsoft,Product Manager,Remote,5.8,2023-08-01,8401104,INR,IC3,4881628,INR,1752794,USD,1766682,INR,INR,1.0,192.168.95.52
UnicornX,Data Scientist,Remote,6.1,2023-08-25,2933357,INR,IC3,2271176,INR,254696,INR,407485,INR,INR,1.0,192.168.199.51
Infosys,Senior Software Engineer,SF Bay Area,10.2,2021-01-08,48988,USD,IC3,46207,USD,0,USD,2781,USD,USD,83.0,192.168.139.89
Google,Tech Lead,Bengaluru,6.4,2026-05-04,11657352,INR,IC4,6850180,INR,3191879,USD,1615293,INR,INR,1.0,192.168.53.136
Meta,Product Manager,Hyderabad,4.0,2021-05-03,5584816,INR,IC3,3614805,INR,1196476,USD,773535,INR,INR,1.0,192.168.12.236
Meta,Data Scientist,Hyderabad,7.0,2026-12-03,6515378,INR,IC3,4166961,INR,1601778,USD,746639,INR,INR,1.0,192.168.149.25
Infosys,Senior Software Engineer,Chennai,11.7,2024-10-02,1382139,INR,IC3,1185161,INR,0,INR,196978,INR,INR,1.0,192.168.112.170
Amazon,Senior Software Engineer,Seattle,5.2,2023-07-23,195054,USD,IC3,123877,USD,57074,USD,14103,USD,USD,83.0,192.168.213.189
StartupA,Tech Lead,Hyderabad,12.5,2023-03-25,7555092,INR,IC4,5842814,INR,1090619,INR,621659,INR,INR,1.0,192.168.198.150
Microsoft,Senior Software Engineer,Bengaluru,10.6,2022-02-18,8630955,INR,IC3,5135044,INR,1997232,USD,1498679,INR,INR,1.0,192.168.92.247
Meta,Product Manager,Seattle,7.2,2024-03-26,360623,USD,IC4,207899,USD,76449,USD,76275,USD,USD,83.0,192.168.176.78
Wipro,Software Engineer,SF Bay Area,6.4,2023-12-08,31547,USD,IC2,27283,USD,0,USD,4264,USD,USD,83.0,192.168.248.92
StartupB,Data Scientist,Bengaluru,3.7,2026-03-01,3599258,INR,IC2,2807004,INR,475134,INR,317120,INR,INR,1.0,192.168.244.104
TCS,Data Scientist,Chennai,16.3,2025-08-04,1684784,INR,IC3,1474161,INR,0,INR,210623,INR,INR,1.0,192.168.206.204
Amazon,Software Engineer,Bengaluru,4.0,2021-03-07,4086933,INR,IC2,2587181,INR,1218955,USD,280797,INR,INR,1.0,192.168.211.103
StartupA,Engineering Manager,Chennai,13.1,2026-02-01,9323549,INR,M2,7071016,INR,1012648,INR,1239885,INR,INR,1.0,192.168.17.51
TCS,Senior Software Engineer,Bengaluru,4.1,2023-08-02,1132524,INR,IC3,976522,INR,0,INR,156002,INR,INR,1.0,192.168.44.237
Wipro,Product Manager,Remote,0.0,2026-11-14,778542,INR,IC3,664056,INR,0,INR,114486,INR,INR,1.0,192.168.45.91
Meta,Senior Software Engineer,Seattle,1.5,2023-10-20,114027,USD,IC3,67801,USD,24500,USD,21726,USD,USD,83.0,192.168.158.63
UnicornX,Product Manager,Hyderabad,5.8,2025-07-05,4549985,INR,IC3,3630447,INR,267412,INR,652126,INR,INR,1.0,192.168.108.52
Infosys,Senior Software Engineer,Chennai,13.0,2025-07-26,1520981,INR,IC3,1413728,INR,0,INR,107253,INR,INR,1.0,192.168.183.92
TCS,Data Scientist,Remote,10.4,2024-06-13,1364732,INR,IC3,1237218,INR,0,INR,127514,INR,INR,1.0,192.168.70.47
Google,Tech Lead,Pune,5.8,2022-05-02,8373891,INR,IC4,4630178,INR,2353641,USD,1390072,INR,INR,1.0,192.168.208.254
TCS,Data Scientist,Seattle,0.9,2025-03-04,24459,USD,IC2,23235,USD,0,USD,1224,USD,USD,83.0,192.168.64.169
Meta,Tech Lead,Pune,6.7,2026-04-19,10638667,INR,IC4,5910746,INR,3187762,USD,1540159,INR,INR,1.0,192.168.217.252
StartupB,Tech Lead,Remote,7.3,2022-12-12,76170,USD,IC4,61641,USD,9949,USD,4580,USD,USD,83.0,192.168.234.152
Google,Engineering Manager,Chennai,3.1,2023-10-07,6709029,INR,M1,4325686,INR,1719931,USD,663412,INR,INR,1.0,192.168.215.253
TCS,Data Scientist,Seattle,3.2,2022-02-02,24659,USD,IC2,22170,USD,0,USD,2489,USD,USD,83.0,192.168.60.155
Meta,Software Engineer,Pune,3.1,2024-04-26,3227062,INR,IC2,1775105,INR,941623,USD,510334,INR,INR,1.0,192.168.34.88
Amazon,Tech Lead,Bengaluru,12.4,2021-03-25,14361655,INR,IC4,8111049,INR,3884392,USD,2366214,INR,INR,1.0,192.168.29.217
Infosys,Tech Lead,Bengaluru,2.3,2023-11-13,1426750,INR,IC4,1313257,INR,0,INR,113493,INR,INR,1.0,192.168.151.26
StartupA,Tech Lead,Seattle,3.5,2022-07-26,125253,USD,IC4,106163,USD,15436,USD,3654,USD,USD,83.0,192.168.164.246
TCS,Engineering Manager,Seattle,6.9,2022-09-23,58910,USD,M1,54240,USD,0,USD,4670,USD,USD,83.0,192.168.228.238
Wipro,Tech Lead,SF Bay Area,13.0,2026-03-13,126859,USD,IC4,115302,USD,0,USD,11557,USD,USD,83.0,192.168.79.188
UnicornX,Senior Software Engineer,SF Bay Area,3.2,2026-10-13,99584,USD,IC3,74706,USD,11970,USD,12908,USD,USD,83.0,192.168.218.198
Wipro,Software Engineer,SF Bay Area,7.3,2025-10-08,33870,USD,IC2,29867,USD,0,USD,4003,USD,USD,83.0,192.168.164.145
Microsoft,Product Manager,SF Bay Area,9.0,2023-06-06,481902,USD,IC4,300964,USD,107849,USD,73089,USD,USD,83.0,192.168.163.227
Microsoft,Engineering Manager,Chennai,5.2,2026-01-09,9456169,INR,M1,5890518,INR,2208724,USD,1356927,INR,INR,1.0,192.168.54.64
Microsoft,Tech Lead,Seattle,0.0,2021-08-24,106095,USD,IC4,65995,USD,21730,USD,18370,USD,USD,83.0,192.168.108.249
Amazon,Product Manager,Hyderabad,5.9,2024-08-26,9965237,INR,IC3,5830891,INR,2367090,USD,1767256,INR,INR,1.0,192.168.222.148
Meta,Senior Software Engineer,Hyderabad,3.7,2021-01-11,4592094,INR,IC3,2892649,INR,933762,USD,765683,INR,INR,1.0,192.168.67.244
Microsoft,Software Engineer,Seattle,5.9,2022-02-18,150728,USD,IC2,96284,USD,32571,USD,21873,USD,USD,83.0,192.168.242.230
Microsoft,Tech Lead,Pune,17.4,2025-07-21,17823064,INR,IC4,11394688,INR,4820256,USD,1608120,INR,INR,1.0,192.168.43.156
StartupB,Senior Software Engineer,Bengaluru,3.8,2021-07-23,3206293,INR,IC3,2510878,INR,472735,INR,222680,INR,INR,1.0,192.168.142.185
Infosys,Tech Lead,Chennai,9.1,2023-02-02,2141828,INR,IC4,1884252,INR,0,INR,257576,INR,INR,1.0,192.168.101.147
Infosys,Product Manager,SF Bay Area,8.6,2021-07-03,56652,USD,IC4,50198,USD,0,USD,6454,USD,USD,83.0,192.168.76.211
Wipro,Product Manager,SF Bay Area,8.7,2021-03-21,67512,USD,IC4,57559,USD,0,USD,9953,USD,USD,83.0,192.168.75.251
Microsoft,Product Manager,Remote,9.7,2021-11-09,10385946,INR,IC4,6125078,INR,2585163,USD,1675705,INR,INR,1.0,192.168.24.165
Infosys,Product Manager,SF Bay Area,10.8,2023-06-06,84736,USD,IC4,79529,USD,0,USD,5207,USD,USD,83.0,192.168.115.12
UnicornX,Product Manager,Hyderabad,12.2,2023-01-05,7104293,INR,IC4,5488949,INR,546009,INR,1069335,INR,INR,1.0,192.168.193.179
Microsoft,Software Engineer,Chennai,5.2,2023-10-08,3344666,INR,IC2,2109876,INR,807398,USD,427392,INR,INR,1.0,192.168.142.16
StartupB,Data Scientist,Hyderabad,11.4,2025-10-08,4321652,INR,IC3,3538166,INR,620745,INR,162741,INR,INR,1.0,192.168.122.77
Microsoft,Product Manager,Remote,7.7,2026-10-22,120391,USD,IC4,73092,USD,30300,USD,16999,USD,USD,83.0,192.168.252.159
Amazon,Software Engineer,Remote,6.1,2024-04-05,58091,USD,IC2,37668,USD,17266,USD,3157,USD,USD,83.0,192.168.11.109
Microsoft,Engineering Manager,Hyderabad,6.9,2022-10-09,11574239,INR,M1,7520095,INR,3040814,USD,1013330,INR,INR,1.0,192.168.82.234
Microsoft,Software Engineer,Hyderabad,0.0,2025-05-17,1961191,INR,IC1,1156584,INR,456198,USD,348409,INR,INR,1.0,192.168.118.235
Google,Engineering Manager,Pune,8.9,2025-07-05,18555129,INR,M1,11174942,INR,4489588,USD,2890599,INR,INR,1.0,192.168.38.146
Wipro,Data Scientist,Remote,4.6,2021-02-26,833354,INR,IC3,755242,INR,0,INR,78112,INR,INR,1.0,192.168.74.223
Infosys,Tech Lead,Hyderabad,7.1,2023-08-19,2029055,INR,IC4,1802418,INR,0,INR,226637,INR,INR,1.0,192.168.156.122
Google,Senior Software Engineer,Seattle,5.6,2024-12-13,231870,USD,IC3,130864,USD,60487,USD,40519,USD,USD,83.0,192.168.10.102
StartupA,Engineering Manager,SF Bay Area,8.7,2021-06-01,257053,USD,M1,211959,USD,36523,USD,8571,USD,USD,83.0,192.168.87.210
UnicornX,Tech Lead,Seattle,4.0,2024-04-05,138679,USD,IC4,115911,USD,16431,USD,6337,USD,USD,83.0,192.168.77.250
TCS,Tech Lead,Seattle,10.8,2026-11-03,75628,USD,IC4,67436,USD,0,USD,8192,USD,USD,83.0,192.168.49.114
Meta,Product Manager,Chennai,6.6,2024-01-17,7224103,INR,IC4,4521922,INR,2071287,USD,630894,INR,INR,1.0,192.168.203.41
Microsoft,Tech Lead,Chennai,11.4,2025-09-19,10659982,INR,IC4,6292998,INR,2964026,USD,1402958,INR,INR,1.0,192.168.8.45
Meta,Senior Software Engineer,Remote,3.5,2021-12-07,54908,USD,IC3,32706,USD,16022,USD,6180,USD,USD,83.0,192.168.71.95
TCS,Data Scientist,Hyderabad,13.0,2026-11-01,1736192,INR,IC3,1636026,INR,0,INR,100166,INR,INR,1.0,192.168.62.96
TCS,Data Scientist,Hyderabad,3.5,2022-08-19,945964,INR,IC2,894931,INR,0,INR,51033,INR,INR,1.0,192.168.142.90
StartupA,Senior Software Engineer,Remote,0.0,2023-07-02,1036490,INR,IC3,848766,INR,81372,INR,106352,INR,INR,1.0,192.168.42.219
Wipro,Senior Software Engineer,Remote,8.0,2022-05-21,1184089,INR,IC3,1086721,INR,0,INR,97368,INR,INR,1.0,192.168.105.132
Google,Engineering Manager,Bengaluru,1.4,2024-10-26,8342977,INR,M1,5349113,INR,2208696,USD,785168,INR,INR,1.0,192.168.3.58
UnicornX,Data Scientist,Remote,7.1,2023-07-28,2983506,INR,IC3,2449270,INR,231335,INR,302901,INR,INR,1.0,192.168.90.118
UnicornX,Senior Software Engineer,Hyderabad,0.2,2023-07-19,1625404,INR,IC3,1329125,INR,215254,INR,81025,INR,INR,1.0,192.168.27.2
Infosys,Engineering Manager,Remote,8.9,2023-05-10,2419459,INR,M1,2200201,INR,0,INR,219258,INR,INR,1.0,192.168.176.28
TCS,Software Engineer,Seattle,14.3,2023-05-09,35983,USD,IC2,32891,USD,0,USD,3092,USD,USD,83.0,192.168.168.183
UnicornX,Senior Software Engineer,SF Bay Area,0.0,2025-10-13,53454,USD,IC3,44182,USD,7482,USD,1790,USD,USD,83.0,192.168.170.82
Amazon,Engineering Manager,Bengaluru,5.8,2026-07-13,15258930,INR,M1,9151349,INR,3502847,USD,2604734,INR,INR,1.0,192.168.100.189
Google,Data Scientist,Chennai,4.9,2025-12-08,5066444,INR,IC3,3199973,INR,1187152,USD,679319,INR,INR,1.0,192.168.176.137
TCS,Engineering Manager,Seattle,0.4,2025-03-27,51402,USD,M1,45235,USD,0,USD,6167,USD,USD,83.0,192.168.169.225
Infosys,Senior Software Engineer,Seattle,5.6,2021-12-09,40286,USD,IC3,36140,USD,0,USD,4146,USD,USD,83.0,192.168.186.207
Infosys,Senior Software Engineer,Chennai,7.5,2023-04-12,1211344,INR,IC3,1108917,INR,0,INR,102427,INR,INR,1.0,192.168.58.191
UnicornX,Product Manager,Remote,8.6,2023-02-16,5443122,INR,IC4,4401075,INR,524587,INR,517460,INR,INR,1.0,192.168.14.222
Wipro,Data Scientist,Pune,8.9,2021-04-17,1225996,INR,IC3,1099991,INR,0,INR,126005,INR,INR,1.0,192.168.31.223
StartupB,Data Scientist,Seattle,6.9,2024-03-07,125716,USD,IC3,94967,USD,17025,USD,13724,USD,USD,83.0,192.168.88.105
Wipro,Product Manager,SF Bay Area,5.6,2023-03-25,61691,USD,IC3,57758,USD,0,USD,3933,USD,USD,83.0,192.168.21.125
StartupA,Engineering Manager,SF Bay Area,3.0,2023-05-07,190485,USD,M1,154950,USD,9614,USD,25921,USD,USD,83.0,192.168.195.199
Amazon,Data Scientist,Remote,5.8,2022-10-14,4298168,INR,IC3,2692187,INR,897475,USD,708506,INR,INR,1.0,192.168.163.110
StartupB,Product Manager,Hyderabad,6.6,2024-12-12,4198715,INR,IC4,3150997,INR,434056,INR,613662,INR,INR,1.0,192.168.244.4
StartupA,Data Scientist,SF Bay Area,9.8,2021-04-08,125563,USD,IC3,102670,USD,14147,USD,8746,USD,USD,83.0,192.168.178.225
StartupA,Tech Lead,SF Bay Area,4.0,2021-03-03,98134,USD,IC4,77364,USD,10684,USD,10086,USD,USD,83.0,192.168.211.12
UnicornX,Tech Lead,Hyderabad,4.0,2026-07-22,2964182,INR,IC4,2377359,INR,303567,INR,283256,INR,INR,1.0,192.168.35.88
TCS,Tech Lead,Remote,0.0,2022-07-01,10630,USD,IC4,10000,USD,0,USD,630,USD,USD,83.0,192.168.59.58
Amazon,Senior Software Engineer,Chennai,9.5,2021-06-23,7302729,INR,IC3,4447138,INR,1583951,USD,1271640,INR,INR,1.0,192.168.167.203
Google,Product Manager,Chennai,1.6,2023-10-02,4055447,INR,IC3,2543272,INR,1063798,USD,448377,INR,INR,1.0,192.168.170.28
Google,Software Engineer,Chennai,6.0,2021-09-09,2789628,INR,IC2,1650560,INR,664002,USD,475066,INR,INR,1.0,192.168.122.180
Amazon,Senior Software Engineer,Chennai,12.8,2026-11-04,11897271,INR,IC3,7293398,INR,2737701,USD,1866172,INR,INR,1.0,192.168.170.134
UnicornX,Data Scientist,Pune,5.0,2026-02-17,2835368,INR,IC3,2165417,INR,377289,INR,292662,INR,INR,1.0,192.168.185.159
Microsoft,Tech Lead,Bengaluru,6.9,2021-05-27,7803293,INR,IC4,4680212,INR,2035881,USD,1087200,INR,INR,1.0,192.168.134.250
Meta,Tech Lead,Chennai,4.9,2024-08-07,6721455,INR,IC4,3895319,INR,1370777,USD,1455359,INR,INR,1.0,192.168.177.239
TCS,Tech Lead,SF Bay Area,1.5,2021-02-04,34288,USD,IC4,29189,USD,0,USD,5099,USD,USD,83.0,192.168.214.147
TCS,Senior Software Engineer,Bengaluru,14.1,2025-12-04,2617645,INR,IC3,2244643,INR,0,INR,373002,INR,INR,1.0,192.168.232.66
Meta,Product Manager,Seattle,3.4,2023-03-28,222886,USD,IC3,132935,USD,46802,USD,43149,USD,USD,83.0,192.168.11.219
TCS,Software Engineer,Pune,1.0,2026-03-15,45000000,INR,IC1,40000000,INR,0,INR,5000000,INR,INR,1.0,10.0.0.1
Google,Engineering Manager,Bengaluru,15.0,2026-01-10,12000,INR,M2,10000,INR,1000,USD,1000,INR,INR,1.0,10.0.0.2
UnicornX,Senior Software Engineer,Remote,8.0,2026-05-20,3200000,INR,IC3,2600000,INR,300000,INR,300000,INR,INR,1.0,198.51.100.42
UnicornX,Senior Software Engineer,Remote,8.0,2026-05-21,3200000,INR,IC3,2600000,INR,300000,INR,300000,INR,INR,1.0,198.51.100.42
UnicornX,Senior Software Engineer,Remote,8.0,2026-05-22,3200000,INR,IC3,2600000,INR,300000,INR,300000,INR,INR,1.0,198.51.100.42
UnicornX,Senior Software Engineer,Remote,8.0,2026-05-23,3200000,INR,IC3,2600000,INR,300000,INR,300000,INR,INR,1.0,198.51.100.42
